INFO 2025-09-27 16:06:05,986 autoreload 13966 8802771136 Watching for file changes with StatReloader
INFO 2025-09-27 16:06:16,579 basehttp 13966 6168686592 "GET / HTTP/1.1" 200 3408
INFO 2025-09-27 16:06:20,106 basehttp 13966 6168686592 "GET /grading/ HTTP/1.1" 200 5620
INFO 2025-09-27 16:06:29,636 basehttp 13966 6168686592 "GET /grading/grading/ HTTP/1.1" 200 20406
INFO 2025-09-27 16:06:29,759 basehttp 13966 6168686592 "GET /grading/api/repositories/ HTTP/1.1" 200 53
INFO 2025-09-27 16:06:34,036 basehttp 13966 6168686592 "GET /grading/repository-management/ HTTP/1.1" 200 17409
WARNING 2025-09-27 16:07:05,823 log 13966 6168686592 Not Found: /stocks/
WARNING 2025-09-27 16:07:05,824 basehttp 13966 6168686592 "GET /stocks/ HTTP/1.1" 404 2995
INFO 2025-09-27 16:09:05,088 basehttp 13966 6168686592 "GET / HTTP/1.1" 200 3408
INFO 2025-09-27 16:09:18,189 basehttp 13966 6168686592 "GET / HTTP/1.1" 200 3408
INFO 2025-09-27 16:09:27,328 basehttp 13966 6168686592 "HEAD / HTTP/1.1" 200 0
WARNING 2025-09-27 16:10:14,175 log 13966 6168686592 Not Found: /stocks/
WARNING 2025-09-27 16:10:14,176 basehttp 13966 6168686592 "GET /stocks/ HTTP/1.1" 404 2995
WARNING 2025-09-27 16:10:14,855 log 13966 6168686592 Not Found: /favicon.ico
WARNING 2025-09-27 16:10:14,855 basehttp 13966 6168686592 "GET /favicon.ico HTTP/1.1" 404 3007
INFO 2025-09-27 16:10:38,997 basehttp 13966 6325039104 "GET / HTTP/1.1" 200 3408
INFO 2025-09-27 16:11:02,387 basehttp 13966 6325039104 "GET /admin/login/ HTTP/1.1" 200 3195
INFO 2025-09-27 16:11:02,423 basehttp 13966 6409170944 "GET /static/vendor/adminlte/img/AdminLTELogo.png HTTP/1.1" 200 2637
INFO 2025-09-27 16:11:02,424 basehttp 13966 6375518208 "GET /static/jazzmin/css/main.css HTTP/1.1" 200 16969
INFO 2025-09-27 16:11:02,431 basehttp 13966 6325039104 "GET /static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 103009
INFO 2025-09-27 16:11:02,432 basehttp 13966 6375518208 "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 200 44244
INFO 2025-09-27 16:11:02,433 basehttp 13966 6358691840 "GET /static/vendor/bootswatch/cosmo/bootstrap.min.css HTTP/1.1" 200 154456
INFO 2025-09-27 16:11:02,435 basehttp 13966 6409170944 "GET /static/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 62440
INFO 2025-09-27 16:11:02,436 basehttp 13966 6392344576 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-09-27 16:11:02,440 basehttp 13966 6341865472 "GET /static/vendor/adminlte/css/adminlte.min.css HTTP/1.1" 200 1382975
INFO 2025-09-27 16:11:24,185 basehttp 13966 6341865472 "GET /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 156400
